UMAP_1,UMAP_2,label
-0.2759343,4.655079,1
-0.96447366,5.421958,1
-0.96732384,6.1054296,1
-1.307416,6.745888,1
-3.1707563,6.509069,1
-3.2371962,6.372471,1
-2.4327502,4.529239,1
-4.0283856,5.9984007,1
-4.055297,5.942441,1
-4.325332,5.675721,1
-3.964499,5.2245893,1
-2.2296164,7.5206094,1
-0.290427,7.0549383,1
-0.11349575,6.2375813,1
-0.08271861,5.484463,1
-1.1510845,4.161077,1
-3.0293524,4.5824494,1
-3.613277,4.7962403,1
-4.3291206,4.743596,1
-4.493212,5.7121644,1
-4.5002627,5.7548666,1
-3.082526,6.6621294,1
-2.93549,6.6628985,1
-2.770982,6.6742864,1
-1.2876678,6.3067017,1
-1.1852237,6.0933614,1
-1.5340894,5.135458,1
-1.5634958,5.0122643,1
-1.586963,4.813294,1
-0.5069697,2.66397,1
-0.49700257,2.6531906,1
-0.52786726,2.6521628,1
-0.5103807,2.6892338,1
-0.24162914,3.094032,1
-0.19206479,3.391062,1
-1.5527825,7.412375,1
-1.8376249,5.949633,1
-1.818226,5.905383,1
-0.27147046,3.4970837,1
-0.2608245,3.435913,1
-0.22892125,3.441222,1
-0.20640016,3.4880865,1
-0.16684987,3.5127442,1
-0.18742786,3.5552237,1
-0.16345601,3.7578936,1
-0.13114324,4.0593557,1
-0.13802879,4.115173,1
-0.109616265,4.068069,1
-0.1453613,4.042517,1
-0.15956235,4.012276,1
-0.1719044,3.991758,1
-1.2345674,3.347868,1
-1.7040774,3.5521145,1
-1.2807721,3.2637653,1
-0.8311224,3.5838394,1
-0.8855552,3.6492252,1
-0.8800872,3.6360765,1
-0.8958645,3.6842015,1
0.04712898,6.5196958,1
-0.09363747,6.780707,1
-0.18234715,6.793274,1
-2.2814934,5.8332386,1
-3.1264486,5.279176,1
-3.2472625,5.2748156,1
-4.74353,4.7067933,1
-3.356621,4.2016854,1
-3.3413463,4.2033267,1
-0.1917403,4.619504,1
-1.0467743,4.337385,1
-1.3983414,4.1774535,1
-1.4723322,4.122079,1
-1.5322073,4.1476464,1
-1.3998185,4.4312882,1
2.68494,4.3661113,1
2.6871593,4.358061,1
2.6811354,4.362941,1
2.6714075,4.366722,1
1.8489183,4.4892464,1
1.8754492,4.434248,1
1.8772433,4.4125376,1
1.8506966,4.372367,1
1.8647621,4.3121357,1
1.8461397,4.268918,1
-3.2127042,4.56756,1
-3.1906927,4.767465,1
-1.6464102,6.5325866,1
-1.169647,6.558208,1
-1.2519754,6.6284747,1
-3.3543758,5.329761,1
-3.9365363,5.6538677,1
-4.1604395,5.6176114,1
-4.510133,5.7005773,1
-1.8743619,6.0020165,1
-0.6771325,2.147625,1
-1.761282,2.7143364,1
-0.8861858,7.407423,1
-0.97121835,7.4090657,1
-1.0145746,7.4287066,1
-0.09654455,6.204751,1
-0.04873347,5.6841807,1
-0.46325046,3.9557288,1
-0.108011544,2.848081,1
0.36693096,3.4981637,1
0.44116843,3.7011914,1
0.4419456,3.8337498,1
0.23441857,4.1411943,1
0.12888862,5.7678704,1
0.45450014,5.600448,1
1.3021488,4.266367,1
1.0518613,3.315001,1
-1.8285961,2.6708221,1
-2.4202046,5.2562985,1
0.0772821,7.29536,1
0.06427036,7.275277,1
0.10287335,7.2814755,1
0.16048136,7.2919493,1
-2.9556768,6.214552,1
-0.54278874,5.4133167,1
0.5363353,4.080677,1
-3.3432786,6.906875,1
-3.560514,7.1192513,1
-3.5914712,7.0996504,1
-3.6061425,5.987996,1
-3.63641,5.9975233,1
-3.6137888,5.995161,1
-3.664102,6.0202174,1
-3.6377125,5.924864,1
-0.63124007,3.1929111,1
-0.7845677,2.859891,1
-0.17709266,2.186375,1
0.7154488,2.592964,1
0.8439856,4.9395885,1
0.6637823,5.6736994,1
0.17081644,7.137336,1
0.110351324,7.212036,1
-3.8102481,6.7163663,1
-5.0203733,4.6521497,1
-4.964236,4.615102,1
-4.7692976,4.4970984,1
-4.6649575,4.454746,1
-1.7820594,4.2222342,1
-0.88431454,4.6852612,1
1.5647516,4.746425,1
1.4333478,4.599337,1
1.419288,4.5292187,1
0.15857066,3.1973932,1
0.13593145,3.1756508,1
0.011315708,1.4583336,1
0.017681738,1.4746426,1
0.049910415,1.5052519,1
0.048325244,1.5592605,1
-2.0249503,6.054979,1
-1.8562789,6.2665586,1
-1.84488,6.3132567,1
-1.640368,6.017885,1
-1.535982,5.8413105,1
-0.8388204,4.049508,1
-0.0041188286,4.245713,1
-0.041653164,4.233807,1
-0.6848125,3.8957968,1
-0.9350411,3.7202637,1
-3.0618057,3.5300348,1
-3.0705137,3.5523345,1
-3.0345984,4.557125,1
-2.2858868,6.768001,1
0.23352039,5.9990845,1
0.19116348,5.8019347,1
1.6710951,4.169513,1
1.7627598,4.2307987,1
1.8065984,4.302161,1
1.8539945,4.451494,1
1.9107499,4.6706057,1
1.9202671,4.7169375,1
1.8859515,4.6845846,1
1.899637,4.708684,1
-0.026318708,4.4497814,1
-0.03233133,4.4111567,1
-0.0059445547,3.45006,1
-0.13971364,3.6001663,1
-0.23914157,2.7545183,1
-0.21709488,2.4423604,1
-0.24366882,2.4895382,1
-0.40381807,2.5992987,1
-0.84369975,2.8805945,1
-2.9310122,5.7626624,1
-2.9151654,5.67725,1
-2.8874485,5.4037256,1
-3.2083442,4.4566884,1
-3.2019944,4.3940735,1
-3.064033,3.4714046,1
-0.8528411,3.1496837,1
-0.79798526,4.162252,1
-0.8588514,4.405787,1
-0.8119518,4.2860355,1
-0.77224034,4.2884336,1
-0.5260242,1.1544447,1
-4.7631054,3.3543594,1
-4.59325,5.2559843,1
-4.585492,5.327766,1
-3.0935268,5.3414955,1
-2.204059,5.9120746,1
-2.132142,5.902509,1
-2.1000042,5.472292,1
0.12260944,7.1143675,1
0.113620766,7.176727,1
0.10067613,7.179546,1
0.06448192,7.130239,1
-0.014012282,7.1446767,1
-0.09620189,7.112434,1
-3.582238,4.8565593,1
-1.168458,6.5353284,1
-1.0368794,6.408184,1
-0.91720253,6.268745,1
-0.7601225,6.12798,1
1.9493248,4.7078543,1
0.94901174,3.1642332,1
0.7651432,3.0479455,1
-2.5511897,2.456029,1
-2.5762432,2.4488406,1
-4.815133,4.086613,1
-5.108574,4.657706,1
-5.117978,4.839511,1
-5.101871,4.8952184,1
-5.109372,4.8965945,1
-3.823304,5.1677885,1
-3.6701314,4.97358,1
-3.0952134,3.6186805,1
-3.4362845,3.4371426,1
-3.3933978,3.4584491,1
-3.4448266,3.3957705,1
-3.3984053,3.4085672,1
-3.4255495,3.3615403,1
-3.0661898,3.5364072,1
-3.0472589,3.5371099,1
-2.1662107,6.2644935,1
-2.162226,6.3277936,1
-2.2659717,6.7904615,1
-3.198346,7.0492506,1
-3.2810931,6.9216347,1
-3.252947,6.8265023,1
-3.2282383,6.736687,1
-1.3717755,3.870013,1
-0.31655166,5.3173733,1
0.0896017,5.9901714,1
-0.57313335,7.265155,1
-2.178379,7.7901406,1
-2.2414005,7.750042,1
-2.0107489,5.0696964,1
-1.9833424,4.9239182,1
-1.942962,4.851323,1
0.28857493,1.8968234,1
0.35832095,1.9535042,1
0.87939453,2.576956,1
0.919297,3.6137,1
0.35592574,6.56356,1
0.18200722,7.0725446,1
0.030771201,7.194602,1
-2.6356275,7.062214,1
-3.2258875,4.463171,1
-3.3376987,4.232373,1
-3.3436518,4.1978574,1
-4.4871206,4.8304944,1
-4.4075327,5.6113696,1
-2.9029105,5.2602425,1
-2.4908998,5.2340574,1
-2.339285,5.2224193,1
1.6020349,4.2102413,1
1.8209271,4.7509785,1
-0.08360647,4.645806,1
-1.3416239,4.563992,1
-2.0097656,5.7303934,1
-2.0877361,5.723815,1
-2.7278593,5.197438,1
-1.9033554,2.616907,1
-1.6653019,2.4365995,1
-0.9139973,2.201254,1
-2.4696534,2.7831814,1
-4.432504,4.620675,1
-4.4627776,4.9588833,1
-4.477124,5.1137323,1
-4.448984,5.4135833,1
-3.8612304,6.6864862,1
-3.5986319,7.0795765,1
-3.623918,7.065987,1
-3.6064992,7.0703835,1
-1.4371258,4.2362466,1
-2.7301788,4.495698,1
-3.0473564,4.538748,1
-3.5502334,4.7773094,1
-2.5235734,2.6823308,1
-2.4644113,2.71789,1
-1.0502509,2.1270425,1
-2.2990544,7.4355288,1
-2.2601647,5.7028956,1
-2.5262916,5.9142265,1
-3.3502934,4.164987,1
-3.3499043,4.197766,1
-3.3174276,4.2519426,1
-2.1569755,4.814883,1
-1.5935133,6.8274813,1
-1.421408,6.985477,1
-0.37139642,7.0009317,1
-1.7521726,2.7098272,1
0.15407342,1.8322169,1
0.22285089,1.8920544,1
0.27949986,1.9284526,1
0.5461366,2.338699,1
0.5257528,2.950983,1
-0.067902915,6.5196123,1
0.7669435,5.6999407,1
0.93200433,5.7252946,1
0.9786928,5.738011,1
0.7393708,4.551967,1
0.64462125,4.4603477,1
-4.031656,5.8836236,1
-4.0459003,5.881635,1
-4.162195,5.7687364,1
-4.3478103,5.6338997,1
-4.4389057,5.5025506,1
-4.444729,5.324293,1
-4.3942537,4.991812,1
-2.4324925,2.8098524,1
-1.659801,2.2953744,1
-1.5319456,2.2445202,1
-1.359351,2.2145782,1
-0.7522216,2.248511,1
-0.78654295,2.2197323,1
-1.7909827,2.6584816,1
-3.7406762,5.0419574,1
-2.9672737,3.7755647,1
-3.0037673,3.7870097,1
-2.9399548,3.845589,1
-1.6422577,5.801429,1
-1.6360458,6.716245,1
-1.2957536,6.726902,1
-1.3059174,6.742027,1
-1.3145599,7.2320776,1
-2.5962873,7.2992907,1
-4.613276,4.154842,1
-4.735389,3.4227626,1
-4.729709,3.3514884,1
-4.4925504,3.112149,1
-4.409143,3.0600996,1
-4.3219905,3.003843,1
-1.9275035,5.9241524,1
-1.9487864,5.463906,1
-1.612184,4.9032006,1
-0.78548837,3.389929,1
-0.7251538,3.2405784,1
-0.59696203,3.2035837,1
-0.5778895,3.1985443,1
-0.545244,3.2075543,1
-0.54218364,3.2374487,1
-0.5405533,5.266765,1
-0.65595317,5.431778,1
-0.7492845,5.5328345,1
-2.8911662,6.25595,1
-2.9568462,6.297951,1
-3.031113,6.2101336,1
-2.1991422,6.2087736,1
-1.1619638,3.9690812,1
-1.2750682,3.5451174,1
-1.420975,3.6711454,1
-2.880664,3.7670882,1
-3.5351565,4.7896857,1
-3.6169872,4.8631644,1
-3.7743413,4.8306346,1
-0.44420338,5.186944,1
-0.047849663,3.3971612,1
-0.33809277,3.0272365,1
-0.3670418,3.1346648,1
-0.35188428,3.1594758,1
-0.38152838,3.2036605,1
-0.20888704,4.7414,1
-0.50831866,5.692935,1
-0.6295477,5.8658457,1
-0.6720884,5.921882,1
-1.3575555,6.8734584,1
1.2800832,6.070657,1
1.6307418,5.5612726,1
1.9114538,5.079163,1
1.9424098,4.9790635,1
1.873289,4.311964,1
1.8525848,4.3170214,1
1.8449084,4.314455,1
0.5473844,4.0012045,1
0.39991704,4.045465,1
-1.6495908,5.3415794,1
-0.1995001,6.9512343,1
0.08948578,7.3281436,1
0.5571695,7.158452,1
0.58093,7.1361966,1
0.59487957,7.111768,1
0.6036308,7.0832663,1
0.584834,7.0208,1
0.040049728,6.8599696,1
-0.13279212,6.4344034,1
-1.9233242,5.564389,1
-0.12733483,6.1966286,1
-0.066694885,6.1403136,1
-0.6973647,4.240299,1
-0.77203566,4.199808,1
-1.11389,4.0796585,1
-0.88797194,4.0040054,1
0.0007625882,3.440142,1
0.10089512,3.2384527,1
-0.010882005,3.1216025,1
-0.35413316,2.9081922,1
-0.8386258,2.858477,1
-3.409167,2.7426984,1
-3.423444,2.6949568,1
-3.4257405,2.6687744,1
-3.469148,2.645154,1
-2.2651374,5.8901725,1
-2.3471937,5.822275,1
-3.0784154,5.449409,1
-3.1566389,5.375195,1
-2.600381,3.9755027,1
-1.0658181,3.9987528,1
-0.94786143,4.0828223,1
-0.94516134,4.1027956,1
-0.24010047,7.0025673,1
0.07162712,7.2200418,1
0.23583865,6.9491606,1
0.27616096,6.7887254,1
-1.4017069,3.787143,1
-1.4578247,3.7715492,1
-1.8073784,3.6697676,1
-1.9315106,3.7055433,1
-2.6354415,3.8401172,1
-4.4484916,4.5888515,1
-4.5435987,4.703347,1
-4.526297,4.7552795,1
-4.536419,4.839619,1
-3.0928931,5.233625,1
-2.988034,5.2421393,1
-2.67556,5.222061,1
0.07886732,5.080579,1
-0.31230515,3.9452834,1
-0.68383545,4.1237664,1
-2.5487072,3.954045,1
-3.5248227,2.6959577,1
-1.238115,3.310786,1
-1.2077775,3.3275914,1
-0.7751835,4.6256227,1
-1.9294056,4.26407,1
-2.4182427,2.7758958,1
-2.3363419,2.832283,1
-2.253574,3.0709379,1
-2.0645146,4.7829967,1
-2.0627735,4.98233,1
-2.4773293,5.7043204,1
-3.5417573,6.4255795,1
-3.7352142,6.5897136,1
-3.9466748,6.657305,1
-0.5719025,3.0139797,1
-0.17929128,2.9595158,1
0.97120297,2.8236563,1
1.0810488,2.6273189,1
-3.5614328,2.695186,1
-3.6062627,2.7137573,1
-2.9843075,5.2569656,1
-2.886688,5.2645726,1
0.774963,2.2902567,1
1.3578223,2.9931734,1
1.6098377,3.5252514,1
1.9015672,4.90627,1
1.8316463,5.2186074,1
1.7444869,5.3538265,1
1.7030904,5.379459,1
0.99784195,5.615851,1
-0.014272714,7.3259106,1
-0.14222783,7.174491,1
-2.6448908,5.2125793,1
-2.431375,2.7072327,1
0.645919,3.9463363,1
0.80927944,3.9803157,1
1.2368703,4.2668796,1
-1.3209238,3.628764,1
-3.0988739,3.569439,1
-1.4443785,6.4630156,1
-1.1768081,6.514538,1
-0.86998606,6.5792236,1
