index,true_label,pred_label,margin,entropy,logit_c0,logit_c1,logit_c2,logit_c3,logit_c4,logit_c5,logit_c6,logit_c7,logit_c8,logit_c9,logit_c10,logit_c11,logit_c12,logit_c13,logit_c14,logit_c15
77,1,1,0.4055609,0.954689,-5.4479327,7.0003138,-3.0962934,-2.4512377,-3.3192582,0.6784009,-0.85432446,-3.6701102,-5.9549775,-4.254159,-2.6504383,6.047126,3.978744,3.4671295,3.1522357,3.4229517
78,1,1,0.21919516,1.1470565,-5.4576807,6.6515303,-3.0596116,-2.585577,-3.2955155,0.6591777,-0.97011364,-3.7091165,-5.6707525,-4.0854735,-2.719119,6.1294737,3.4758832,4.2224894,2.1862195,4.509339
79,1,1,0.4502418,0.9823916,-5.4517345,6.991103,-2.8995097,-2.426056,-3.244432,0.79936016,-0.9119177,-3.840035,-5.7303967,-4.252349,-2.9140973,5.875475,3.4070387,4.0127115,2.0913901,4.423356
116,1,2,0.36897534,1.012708,-5.0417705,7.5316415,8.478755,-3.2401714,2.6206613,7.026786,-4.726813,-3.8451238,-7.9643116,-2.3191242,5.100505,-1.2902315,-5.721614,-4.28657,-5.4135823,-7.139607
233,2,4,0.2278572,0.9573402,-4.909673,0.98699534,6.8766756,5.043946,7.3853436,4.3923073,-3.108254,-0.49043024,-3.8451793,-3.9734268,-2.3184774,-7.474839,-4.7727823,-9.274015,-5.149572,-5.9607916
234,3,4,0.107964516,1.0204297,-4.9267535,0.20594203,5.110267,6.7334013,6.976185,4.0699296,-2.2546515,0.3581212,-3.2432015,-3.9914832,-3.7161975,-7.582906,-4.2392216,-9.22828,-4.546736,-5.021225
584,5,5,0.27324873,0.67523766,-5.009704,0.6140237,-2.383273,1.7218742,-4.358696,8.196926,7.634651,-3.0802698,-2.2556548,-5.5398455,-5.1241555,-2.9392738,-0.5845392,-4.1999745,0.3480081,1.6138725
703,7,3,0.32955012,0.7804406,-4.947277,-4.860847,-4.462737,7.2755556,-0.23983589,-0.98040825,6.5677867,3.8230681,2.4702978,-4.3021836,-7.1276217,-3.994092,0.3217985,-5.9028406,-1.2855139,1.9054229
705,7,7,0.16143662,0.75312567,-5.0139456,-6.3555493,-4.4974966,7.174176,1.8032808,-2.6440263,2.8489337,7.5039434,2.2861097,-2.2265625,-5.5490723,-3.724371,-0.35366845,-5.6385827,-2.7266135,1.3571273
822,8,9,0.42479312,0.84285283,-5.0982475,-12.746647,-4.905133,-2.6332004,-0.55929756,-4.6242337,0.39472663,6.2394,7.2815204,8.291309,0.024091661,2.0149276,0.9688892,-3.264834,-0.51203775,-0.12543938
823,8,8,0.17071983,0.82875854,-5.041937,-13.438537,-4.9519157,-2.5383139,-1.1241724,-5.0474195,0.47840315,5.7106676,8.436687,8.077436,-0.41755635,2.3114173,1.415456,-3.4972205,-0.42695034,0.40072256
940,9,8,0.009177238,0.78216505,-5.0309544,-13.5118685,-5.2044454,-3.5353441,-2.958869,-4.4134507,0.40955544,3.6977973,8.43322,8.414572,0.27008814,4.2761793,0.9096808,-2.6915295,-0.2772255,3.2947361
1171,10,10,0.24326032,0.7310429,-5.3045216,-4.7498226,0.17650075,-7.9012504,-0.3620532,0.29769185,-2.7290072,0.5171573,-1.7726438,9.226334,9.730547,5.9837456,-2.0014496,-0.06556746,-1.0102684,-5.8473654
1177,11,11,0.4738312,0.8980609,-5.4504843,-3.7632895,-5.465111,-4.9849997,-4.6230154,-2.0701928,-2.234071,-1.3947277,-2.2844176,1.951488,-0.529956,8.898208,5.718544,7.7481394,5.8955803,5.49463
1178,11,11,0.37329462,1.1851562,-5.440217,-2.4978635,-5.477749,-4.3526597,-4.578942,-2.3100772,-1.8663893,-1.6794403,-2.7430007,0.36019677,-1.2377174,8.3559065,6.00965,7.344433,6.2084994,6.2990236
1179,11,11,0.33377174,1.2710023,-5.4392147,-2.1008224,-5.4893575,-4.197011,-4.563965,-2.3096197,-1.7215617,-1.7462394,-2.8780084,-0.034579694,-1.4323807,8.1600065,6.0743465,7.2120967,6.232663,6.42892
1180,11,11,0.22208099,1.3511766,-5.4107165,-3.1556711,-5.662092,-4.2908854,-4.7928615,-2.662691,-1.7156644,-1.533418,-2.312427,0.40937382,-1.4072318,8.068451,5.883684,7.38847,6.100566,7.296176
1181,11,11,0.06431365,1.4501238,-5.4082623,-2.614819,-5.6363053,-4.023859,-4.7567706,-2.6684892,-1.5211067,-1.6619326,-2.4860878,-0.22718197,-1.7574611,7.699501,6.0778227,7.186015,6.2876816,7.496498
1182,11,11,0.014005303,1.5984696,-5.4310365,-1.8206984,-5.529916,-3.6043708,-4.6505237,-2.3953085,-1.2824249,-1.8646822,-2.804165,-0.8807972,-2.1439245,7.0176697,6.6149025,6.6475334,6.9566,6.943944
1183,11,11,0.03000392,1.5997617,-5.4224873,-1.6280584,-5.4378357,-3.6815312,-4.814503,-2.4425035,-1.1165345,-2.0760312,-2.8615408,-1.1118464,-2.328642,7.2019744,6.769507,7.0707717,7.054716,6.8569117
1184,11,13,0.020894766,1.5504341,-5.4133983,-1.6048437,-5.4086814,-3.8462164,-4.9069853,-2.45549,-1.022515,-2.146791,-2.8471575,-1.1271001,-2.3425305,7.4464836,6.6268396,7.520251,6.806037,6.966752
1185,11,15,0.003806159,1.5997995,-5.4002347,-2.08503,-5.544683,-3.6669967,-4.9515467,-2.6928601,-0.9611746,-2.0222237,-2.5875692,-1.1108608,-2.5684328,7.046363,6.9697742,7.335012,7.1531034,7.351224
1186,11,13,0.16497938,1.5513073,-5.4021964,-1.1834853,-5.2707,-3.4327903,-4.840703,-2.484191,-0.6370399,-2.2410574,-2.887412,-1.6147232,-3.027338,6.7954774,6.7852335,7.5747747,6.755378,6.9304075
1187,11,13,0.23915182,1.4004018,-5.3957176,-1.7274283,-5.3937097,-3.5368233,-4.9378853,-2.5171251,-0.4477563,-2.1392322,-2.548876,-1.3973594,-3.1325617,6.643479,6.6160173,8.102303,6.570046,7.3760033
1188,11,13,0.34204873,1.2963599,-5.372507,-2.999927,-5.689237,-3.6731434,-5.151495,-2.7371645,-0.18527222,-1.9156559,-1.8521645,-0.84374964,-3.305251,6.4559393,6.9292326,8.603119,6.9784336,7.5881376
1189,11,13,0.16783938,1.4763675,-5.3189125,-4.462444,-6.080435,-3.8923817,-5.5065327,-3.260542,-0.4517197,-1.7072065,-1.2914594,-0.1348986,-3.0883708,6.8152857,7.8442507,8.53086,7.520096,7.9546432
1190,11,12,0.14069672,1.484704,-5.3255434,-4.9437876,-6.080555,-3.674479,-5.58677,-3.170782,-0.5404287,-1.5737174,-0.8969423,0.113009095,-3.0638802,6.549448,8.364825,7.697729,7.87488,7.596548
1191,11,12,0.036746114,1.4663781,-5.277211,-5.643914,-6.1967554,-3.8392987,-5.7053995,-3.4715033,-0.3346749,-1.5700245,-0.45690057,0.28904766,-3.335912,6.560215,8.514559,8.395712,7.759381,7.915534
1192,11,13,0.046753377,1.438938,-5.25451,-5.9682245,-6.3817654,-3.9658885,-5.695367,-3.5570683,-0.19574934,-1.4709377,-0.24813466,0.3481291,-3.3887868,6.541481,8.201494,8.616469,7.512083,8.466503
1193,11,15,0.19161972,1.3274221,-5.258209,-5.846017,-6.429816,-3.872032,-5.6435328,-3.5853,-0.16419268,-1.4122282,-0.29510906,0.1291241,-3.4007158,6.3380375,7.8493986,8.457228,7.429495,8.997578
1194,11,15,0.24569055,1.2333331,-5.3088655,-4.876306,-6.198163,-3.6494427,-5.4578295,-3.2874393,-0.002227962,-1.4928906,-0.7227655,-0.41590974,-3.463685,5.877442,7.1618814,8.335269,7.4426203,8.98429
1195,11,15,0.026324809,1.3659497,-5.315971,-4.2034526,-6.033051,-3.5303607,-5.405634,-3.3498085,-0.11935431,-1.6965699,-1.1920822,-0.67937046,-3.5742502,5.954849,7.5305767,8.47881,7.4904876,8.5527935
1196,11,13,0.2337754,1.3663795,-5.313346,-4.600867,-6.073834,-3.5324936,-5.4279757,-3.240395,0.2506699,-1.6276265,-0.7922671,-0.410203,-3.8304298,5.7387805,7.6342583,8.6989155,7.7536798,7.9484925
1197,11,13,0.09841937,1.4484152,-5.293098,-4.9274416,-6.1971893,-3.7202363,-5.559248,-3.4815335,-0.23679692,-1.6347088,-0.9067209,-0.17407924,-3.460349,6.356585,8.1451235,8.580118,7.654569,8.248214
1198,11,12,0.03434673,1.4907551,-5.308488,-4.804122,-6.1421623,-3.599175,-5.547597,-3.3793464,-0.4871139,-1.6004838,-0.9864468,-0.19322634,-3.2099442,6.408346,8.278643,7.792884,7.811242,8.158976
1199,11,12,0.10827771,1.5052886,-5.33326,-4.5947723,-6.0718927,-3.625596,-5.468692,-3.1154754,-0.61679083,-1.5902882,-1.115279,-0.02739048,-2.9892147,6.5458775,8.204744,7.538969,7.8185387,7.650168
1200,11,13,0.14854987,1.4827851,-5.303597,-5.0695434,-6.231535,-3.9559202,-5.526682,-3.3294096,-0.45466268,-1.5863153,-0.943899,0.19739002,-3.1101477,6.8856187,8.01837,8.538128,7.482714,8.016972
1201,11,15,0.14473054,1.3286405,-5.2636805,-6.2144327,-6.521578,-4.246888,-5.5834417,-3.459329,-0.45742708,-1.2862692,-0.21913376,0.73925865,-2.9060352,7.0526824,7.4811344,8.520449,6.968711,8.90794
1202,11,15,0.2056253,1.4185276,-5.247465,-6.82073,-6.532463,-4.366563,-5.615503,-3.4878204,-0.7209238,-1.1947813,0.13971278,1.1855109,-2.6993933,7.4114714,7.818876,8.096088,6.766414,8.74493
1203,11,15,0.18057662,1.4224887,-5.2341366,-7.5068736,-6.6236553,-4.418083,-5.5997987,-3.4661312,-0.6965023,-1.0148454,0.73537743,1.6907692,-2.6442714,7.5606804,7.959217,7.420957,6.352936,8.525773
1204,11,15,0.38998467,1.1494614,-5.180154,-8.640577,-6.9209228,-4.7491484,-5.632951,-3.4659443,-0.39891112,-0.73922896,1.7500207,2.4221914,-2.5003293,7.850171,7.2250366,6.7789745,5.486635,8.916429
1205,11,15,0.31219634,1.1410199,-5.1559315,-9.517643,-7.164839,-4.6965914,-5.715372,-3.3184817,0.44121245,-0.34634462,2.9938374,2.8523436,-2.631977,7.617566,6.5962687,5.3895903,5.5837126,8.400744
1206,11,15,0.45217794,0.9547597,-5.145343,-9.356522,-7.1211214,-4.757809,-5.585142,-3.5278497,-0.17781037,-0.45235026,2.6047099,2.8404255,-2.4651392,7.888957,6.8262105,5.7527747,4.873432,9.015162
1207,11,15,0.033085793,1.4001102,-5.160206,-9.775618,-7.119581,-4.586889,-5.748292,-3.2928271,0.97230136,-0.18287623,3.5086026,2.7648947,-2.9619284,7.4207826,6.8915915,4.834934,5.985773,7.5164576
1208,11,11,0.1045143,1.3930005,-5.1322618,-10.295364,-7.098222,-4.5830126,-5.7195716,-3.3971994,1.1688328,-0.057069898,4.210806,3.0381825,-3.0066752,7.4545765,6.9174,4.069231,5.671154,7.141613
1209,11,11,0.012470245,1.2752316,-5.1183023,-9.9944935,-7.1394396,-4.6404595,-5.549238,-3.6549425,0.38752568,-0.30393952,3.54931,3.263155,-2.8904014,7.8476562,7.288226,4.959976,4.911746,7.8137717
1210,11,15,0.052948147,1.3012621,-5.155446,-9.229042,-6.957322,-4.690046,-5.541297,-3.5160081,-0.10685608,-0.5380856,2.5310974,2.8554127,-2.7279637,7.9511614,7.6234355,5.8949623,5.0640187,8.102158
1211,11,15,0.13625187,1.3761702,-5.192381,-8.2698145,-6.817686,-4.4995522,-5.626034,-3.5318165,-0.33196774,-0.83726555,1.4736345,2.0314677,-2.850926,7.666181,8.036842,6.963172,5.8899207,8.440569
